,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
5259,Apartment,ِشقة للبيع 195 م بالنستقبل سيتي | Hassan allam,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,2 bathrooms,195 sqm,"410,000 EGP"
5260,Apartment,Apartment For sale in Stone Residence 175 m - Lake,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,175 sqm,"1,285,000 EGP"
5261,Apartment,for sale Superlux in Makram Obeid branches,"Al Sheikh Ahmed Elsawy St., 6th Zone, Nasr City, Cairo",4 bedrooms,2 bathrooms,240 sqm,"1,900,000 EGP"
5262,Apartment,Apartment sale amberville New Giza- view lake,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",3 bedrooms,3 bathrooms,226 sqm,"4,982,000 EGP"
5263,Penthouse,2 Bedroom Penthouse in Azzurra Sahl Hasheesh,"Azzurra Resort, Sahl Hasheesh, Hurghada, Red Sea",2 bedrooms,2 bathrooms,189 sqm,"3,300,000 EGP"
5264,Apartment,HAP TOWN Apartment Hasan Allam Under Market price,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2 bedrooms,2 bathrooms,138 sqm,"1,663,000 EGP"
5265,Villa,standalone in pk2 palm hills extension new cairo,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,400 sqm,"10,999,997 EGP"
5266,Villa,villa 195m|fully finished|in fouka bay north coast,"Fouka Bay, Qesm Marsa Matrouh, North Coast",4 bedrooms,3 bathrooms,195 sqm,"1,200,000 EGP"
5267,Villa,Arabella Park Super Lux 1050 sqm Villa for Sale,"Arabella, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,5 bathrooms,820 sqm,"30,000,000 EGP"
5268,Villa,villa with the old price in hydepark open view,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,319 sqm,"7,000,000 EGP"
5269,Duplex,Roof Garden Duplex| Ultra Superlux |Smart Home|,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,155 sqm,"2,600,000 EGP"
5270,Villa,standalone villa for sale at Hyde park (classic),"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,3 bathrooms,350 sqm,"10,250,000 EGP"
5271,Apartment,Modern Apartment for Sale in iCity: 140 Sqm,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,140 sqm,"256,500 EGP"
5272,Penthouse,For Sale Penthouse Lavista Cascada North coast,"La Vista Cascada, Al Alamein, North Coast",4 bedrooms,3 bathrooms,180 sqm,"6,000,000 EGP"
5273,Apartment,Tiba Gardens Apartment for sale237M fully finished,"Tiba Gardens, Northern Expansions, 6 October City, Giza",4 bedrooms,3 bathrooms,237 sqm,"1,896,000 EGP"
5274,Villa,Standalone villa for immediate sale in Palm Hills,"Palm Hills October, Cairo Alexandria Desert Road, 6 October City, Giza",6 bedrooms,6 bathrooms,320 sqm,"8,950,000 EGP"
5275,Townhouse,TownHouse| instalment next to AUC attractive price,"Eastshire compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,261 sqm,"6,187,000 EGP"
5276,Villa,Villa for sale at Allegria sodic semi finished.,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,4 bathrooms,638 sqm,"17,000,000 EGP"
5277,Twin House,HOT DEAL| Twinhouse Fully finished | Swimming pool,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,350 sqm,"12,500,000 EGP"
5278,Hotel Apartment,HOTEL apartment for sale prime location,"I business park, Downtown Area, New Capital City, Cairo",1 bedroom,1 bathroom,60 sqm,"2,500,000 EGP"
