,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
301,Chalet,"Chalet For Sale Marassi 3 bedrooms 6,650,000","Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,2 bathrooms,140 sqm,"6,650,000 EGP"
302,Apartment,Gardens El Feda | North Statement | Apartment,"Al Feda Gardens, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,4 bathrooms,350 sqm,"3,800,000 EGP"
303,Apartment,Sea View Fully Finished Apartment with5%DP|Alamein,"Mazarine, New Alamein City, North Coast",3 bedrooms,3 bathrooms,200 sqm,"250,000 EGP"
304,Chalet,prime location//bahary // direct pool // garden,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,2 bathrooms,190 sqm,"13,200,000 EGP"
305,Chalet,Chalet fully finished view on pool in North coast,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,3 bathrooms,125 sqm,"586,500 EGP"
306,Duplex,For sale i villa a roof - mountain view hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,3 bathrooms,305 sqm,"4,750,000 EGP"
307,Twin House,TwinHouse|Marassi|Fully Furnished|Attractive Price,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,277 sqm,"13,325,000 EGP"
308,iVilla,Own i villa with roof in ICity compound with 10%,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3 bedrooms,2 bathrooms,190 sqm,"3,600,000 EGP"
309,Twin House,Twin House 300 sqm in PK1 fully finished with AC`S,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4 bathrooms,350 sqm,,"14,500,000 EGP"
310,Apartment,For Sale Apartment landscape View - F Finished,"Zayed Dunes, 6th District, Sheikh Zayed City, Giza",3 bedrooms,2 bathrooms,149 sqm,"2,450,000 EGP"
311,Apartment,Apartment|Full Finished| 0% DownPayment |10 Years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,2 bathrooms,154 sqm,"3,770,000 EGP"
312,Apartment,"Apartment 190m 3rooms in Degoya, for sale 2 years","De Joya, New Capital Compounds, New Capital City, Cairo",3 bedrooms,3 bathrooms,190 sqm,"2,800,000 EGP"
313,Apartment,Own your apartment with a 10% down payment over 8y,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3 bedrooms,1 bathroom,150 sqm,"2,500,000 EGP"
314,Duplex,Own a Duplex in a prime location in Blue Blue,"Blue Blue, Al Ain Al Sokhna, Suez",2 bedrooms,2 bathrooms,150 sqm,"4,570,000 EGP"
315,Townhouse,Town Mazzonte for sale in hyde park new cairo,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,245 sqm,"4,200,000 EGP"
316,Chalet,Chalet with Roof for sale in Sea View North Coast.,"Sea View, Qesm Ad Dabaah, North Coast",1 bedroom,1 bathroom,72 sqm,"448,000 EGP"
317,Apartment,Studio at HydePark(CV) finished landscape view 84m,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1 bedroom,2 bathrooms,84 sqm,"1,590,000 EGP"
318,Apartment,Apartment Fully Finished Sea View Start price 4.3m,"The Gate Towers, New Alamein City, North Coast",2 bedrooms,1 bathroom,81 sqm,"4,300,000 EGP"
319,Villa,Villa in a very Premium location in Marina City .,"Marina City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,5 bathrooms,540 sqm,"8,500,000 EGP"
320,Apartment,Apartment in CFC | Super Lux Finished | Lake View,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",2 bedrooms,2 bathrooms,137 sqm,"4,200,000 EGP"
321,Apartment,Apartment for sale with installment in New Cairo,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,110 sqm,"367,000 EGP"
322,Twin House,For Sale Delivered Twin House in Cairo Festival,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",4 bedrooms,5 bathrooms,324 sqm,"11,000,000 EGP"
323,Chalet,marina marassi with installments till 2028,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,75 sqm,"2,400,000 EGP"
324,Chalet,Chalet on Lagoon 3 Beds |Furnished |Blanca Marassi,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,2 bathrooms,141 sqm,"8,150,000 EGP"
325,Penthouse,Turn key panoramic sea view penthouse beach access,"Azzurra Resort, Sahl Hasheesh, Hurghada, Red Sea",2 bedrooms,2 bathrooms,220 sqm,"2,800,000 EGP"
326,Chalet,Chalet For Sale In Mountain View North Coast 10%Dp,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,125 sqm,"3,100,000 EGP"
327,Apartment,Apartment with Private Garden for sale @ HYDE PARK,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,165 sqm,"400,000 EGP"
328,Hotel Apartment,Hot Deal| Chalet in Address Golf Marassi|Emaar,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,105 sqm,"6,659,000 EGP"
329,Apartment,apartment new capital 0% down payment over 10 year,"MU-23, Downtown Area, New Capital City, Cairo",2 bedrooms,1 bathroom,109 sqm,"1,100,000 EGP"
330,Duplex,I-villa Garden | Fully Finished | ACs | Kitchen,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,230 sqm,"5,200,000 EGP"
331,Apartment,Apartment for sale at Regents Park new cairo 125m.,"Regents Park, Al Andalus District, New Cairo City, Cairo",2 bedrooms,1 bathroom,125 sqm,"1,900,000 EGP"
332,Chalet,Direct on Lagoon / Fully Finished Chalet,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,125 sqm,"2,850,000 EGP"
333,Apartment,Apartment 217m for sale mivida with installmnet,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,217 sqm,"6,100,000 EGP"
334,Apartment,Book your unit in new Andalus -185m - dp25%,"Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",3 bedrooms,2 bathrooms,185 sqm,"1,480,000 EGP"
335,Twin House,Best Offer|Twin House in Verona Marassi|Rare Price,"Marassi, Sidi Abdel Rahman, North Coast",4 bedrooms,3 bathrooms,277 sqm,"13,500,000 EGP"
336,Chalet,"Chalet 147m, fully finished, in Amwaj ,DP400K","Amwaj, Al Alamein, North Coast",3 bedrooms,3 bathrooms,147 sqm,"400,000 EGP"
337,Villa,Stand-Alone Villa sale in Marassi o Crystal Lagoon,"Marassi, Sidi Abdel Rahman, North Coast",6 bedrooms,4 bathrooms,720 sqm,"27,000,000 EGP"
338,Duplex,"Amwaj , Duplex third row from Sea","Amwaj, Al Alamein, North Coast",4 bedrooms,3 bathrooms,180 sqm,"3,900,000 EGP"
339,Chalet,Chalet for sale-Marassi-Marina- 3 bedrooms .,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,207 sqm,"9,700,000 EGP"
340,Chalet,livable compound in north coast by mountain view,"Mountain View, Ras Al Hekma, North Coast",2 bedrooms,2 bathrooms,100 sqm,"2,300,000 EGP"
341,Chalet,"Chalet 76m for sale, furnished,pool view,marina 2","Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,76 sqm,"5,750,000 EGP"
342,Townhouse,apartment for sale in Palm Hills New Cairo+ roof,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,250 sqm,"5,250,000 EGP"
343,Villa,Villa 500m for Sale in Vectoria Marassi,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,500 sqm,"22,500,000 EGP"
344,Chalet,Best Price For Ground Chalet in Caesar *Over Pool*,"Caesar, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,171 sqm,"8,400,000 EGP"
345,iVilla,I Villa B roof with lowest price for sale at MVHP.,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,234 sqm,"2,570,000 EGP"
346,Villa,For resale standalone villa ready to move with INS,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4 bedrooms,4 bathrooms,340 sqm,"6,632,398 EGP"
347,Apartment,Apartment with garden|OWEST|Under market price,"O West, 6 October Compounds, 6 October City, Giza",2 bedrooms,3 bathrooms,136 sqm,"1,250,000 EGP"
348,Townhouse,townhouse middle classic 234m prime location,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,236 sqm,"6,400,000 EGP"
349,Apartment,Apartment for Sale 175 m Louran,"Al Geish Road, Laurent, Hay Sharq, Alexandria",3 bedrooms,2 bathrooms,175 sqm,"2,500,000 EGP"
350,Villa,Villa 500m for Sale in Vectoria Marassi,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,500 sqm,"22,500,000 EGP"
351,Chalet,Best Price For Ground Chalet in Caesar *Over Pool*,"Caesar, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,171 sqm,"8,400,000 EGP"
352,iVilla,I Villa B roof with lowest price for sale at MVHP.,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,234 sqm,"2,570,000 EGP"
353,Villa,For resale standalone villa ready to move with INS,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4 bedrooms,4 bathrooms,340 sqm,"6,632,398 EGP"
354,Apartment,Apartment with garden|OWEST|Under market price,"O West, 6 October Compounds, 6 October City, Giza",2 bedrooms,3 bathrooms,136 sqm,"1,250,000 EGP"
355,Townhouse,townhouse middle classic 234m prime location,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,236 sqm,"6,400,000 EGP"
356,Apartment,Apartment for Sale 175 m Louran,"Al Geish Road, Laurent, Hay Sharq, Alexandria",3 bedrooms,2 bathrooms,175 sqm,"2,500,000 EGP"
357,Villa,Standalone in pk2 For Sale Semi finished-New Cairo,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,400 sqm,"7,500,000 EGP"
358,Townhouse,amazing villa for sale in Diyar with special price,"Dyar Park, Ext North Inves Area, New Cairo City, Cairo",4 bedrooms,4 bathrooms,350 sqm,Ask for price
359,Apartment,apartment for sale in midtown new cairo-pool view,"Midtown, South Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,225 sqm,"3,000,000 EGP"
360,Villa,Marassi Villa 5 bed on the lagoon north facing,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,435 sqm,"25,000,000 EGP"
361,Villa,Mivida Emaar Stand Alone 740m over the lake sale,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6 bedrooms,7 bathrooms,740 sqm,"42,000,000 EGP"
362,Penthouse,Penthouse 112 m 3 bedrooms for sale at fouka bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,112 sqm,"3,000,000 EGP"
363,Chalet,only 5% chalet for sale sea view Telal Sokhna,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",2 bedrooms,2 bathrooms,96 sqm,"2,120,000 EGP"
364,Chalet,Chalet + Roof | 3 Beds + Maids | Landscape View,"Amwaj, Al Alamein, North Coast",3 bedrooms,2 bathrooms,150 sqm,"3,200,000 EGP"
365,Chalet,Chalet sea view in mountain view ras elhikma,"Mountain View, Ras Al Hekma, North Coast",2 bedrooms,2 bathrooms,110 sqm,"2,672,000 EGP"
366,Twin House,Twin resale prime location in Palm Valley,"Palm Hills Palm Valley, 26th of July Corridor, 6 October City, Giza",4 bathrooms,517 sqm,,"7,800,000 EGP"
367,Chalet,Own Chalet sea view in northcoast- Finished,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,137 sqm,"1,085,250 EGP"
368,Duplex,Duplex for sale + Garden in Al Burouj Shorouk City,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4 bedrooms,3 bathrooms,199 sqm,"440,000 EGP"
369,Villa,Villa for sale in Dyar arco in New Cairo,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,730 sqm,"10,500,000 EGP"
370,Apartment,The Address East Apartment|Ground floor|villa view,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,140 sqm,"3,280,000 EGP"
371,Apartment,Studio For sale at new Cairo -9 years installments,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Studio,1 bathroom,74 sqm,"134,000 EGP"
372,Apartment,Own Ready To Move Apartment with Installments 6Yrs,"Galleria Residences, South Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,165 sqm,"3,300,000 EGP"
373,Apartment,Eastown Apartment 160m Prime Location for sale,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,160 sqm,"4,200,000 EGP"
374,Apartment,Semi finished apartment for sale at Village Gate,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",2 bedrooms,2 bathrooms,146 sqm,"2,300,000 EGP"
375,Apartment,Apt With Garden|Inst Till 2023 |With Ac’s+ kitchen,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,144 sqm,"3,200,000 EGP"
376,Chalet,in advance of 250 thousand chalet 92m Ras El Hekma,"Mountain View, Ras Al Hekma, North Coast",2 bedrooms,2 bathrooms,92 sqm,"2,500,000 EGP"
377,Chalet,Chalet For Sale with lagoon View in North Coast,"White Sand, Markaz Al Hamam, North Coast",2 bedrooms,1 bathroom,92 sqm,"2,035,000 EGP"
378,Chalet,Chalet 3 bed side golf and lake in North Coast,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,195 sqm,"6,900,000 EGP"
379,Hotel Apartment,Own hotel apartment fully finished-installment 10y,"D-Square, Downtown Area, New Capital City, Cairo",1 bedroom,1 bathroom,62 sqm,"1,934,400 EGP"
380,Apartment,Apartment 153 SQM in katamya plaza semi finished .,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",2 bedrooms,3 bathrooms,153 sqm,"2,950,000 EGP"
381,Chalet,Standalone Chalet Ground Direct lagoon fouka bay,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,180 sqm,"3,800,000 EGP"
382,Twin House,Unique interior|Lowest Price |Twin House in Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,310 sqm,"12,500,000 EGP"
383,Apartment,كومباوند مغلق | مقدم 10% | 6 سنوات تقسيط,"Suez Canal Road, El Shatby, Hay Wasat, Alexandria",3 bedrooms,2 bathrooms,145 sqm,"3,262,000 EGP"
384,Apartment,Fully Finished Apartment in Marassi Marina,"Marassi, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,141 sqm,"10,500,000 EGP"
385,Townhouse,Fully Finished Townhouse 5% dp / 8yrs Installments,"Karmell, New Zayed City, Sheikh Zayed City, Giza",3 bedrooms,4 bathrooms,205 sqm,"315,000 EGP"
386,Duplex,Fully Finished Duplex For Sale In Palm Parks,"Palm Parks Palm Hills, South Dahshur Link, 6 October City, Giza",3 bedrooms,3 bathrooms,210 sqm,"4,100,000 EGP"
387,Villa,Ready to deliver Villa with 0 downpayment over 10y,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4 bedrooms,3 bathrooms,220 sqm,"5,000,000 EGP"
388,Villa,Stand alone in Katameya Dunes First row golf,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",7 bedrooms,7 bathrooms,"1,300 sqm","35,000,000 EGP"
389,Villa,With 0 % Down payment own your villa in Badya .,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,197 sqm,"7,186,000 EGP"
390,Apartment,Apartment for sale 8 years installments,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,183 sqm,"7,600,000 EGP"
391,Apartment,Apartment for sale N uptown Golf with installments,"Golf Side, Uptown Cairo, Mokattam, Cairo",2 bedrooms,3 bathrooms,166 sqm,"926,619 EGP"
392,Villa,Villa fully finished with cabana Lagoon view,"Seashell, Al Alamein, North Coast",4 bedrooms,4 bathrooms,666 sqm,"19,000,000 EGP"
393,Penthouse,Chalet with Penthouse for sale at Marassi,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,208 sqm,"7,500,000 EGP"
394,Townhouse,Townhouse middle in PK2 - New Cairo,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,5 bathrooms,330 sqm,"6,300,000 EGP"
395,Apartment,We expanded the area apartment of 177 m in Century,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,177 sqm,"3,274,500 EGP"
396,Chalet,Prime Located Garden Chalet @Mountain View Evia,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,132 sqm,"3,400,000 EGP"
397,Penthouse,A great Pent house at Hyde Park for sale .,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,207 sqm,"3,500,000 EGP"
398,Apartment,Amazing Apartment217m prime location at Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,217 sqm,"4,850,000 EGP"
399,Apartment,Fully Finished Apt Delivery Now With Installments,"Fifth Square, North Investors Area, New Cairo City, Cairo",2 bedrooms,2 bathrooms,240 sqm,"585,000 EGP"
400,Villa,Small Villa For Sale in Sodic Villette 600m,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,600 sqm,"12,800,000 EGP"
401,Chalet,Chalet sea view for sale in fouka bay bahry,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,129 sqm,"1,042,000 EGP"
402,iVilla,I-Villa 272m With Open View - Garden 50m-MountainV,"Mountain View October Park, 6th District, 6 October City, Giza",4 bedrooms,3 bathrooms,272 sqm,"3,500,000 EGP"
403,Twin House,Twin house Lagoon View 4 bed in Marassi Verdi,"Marassi, Sidi Abdel Rahman, North Coast",4 bedrooms,4 bathrooms,290 sqm,"12,500,000 EGP"
404,Apartment,"1 Bedroom Apartment for Sale in Marassi, Marina","Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,81 sqm,"5,300,000 EGP"
405,Apartment,Delivered NOW Lowest Price Finished Apartment-A/Cs,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,160 sqm,"3,000,000 EGP"
406,Villa,Villa Very Prime Location in Golf Views,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",5 bedrooms,5 bathrooms,850 sqm,"20,000,000 EGP"
407,iVilla,Ivilla Garden for sale in mountain view hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,4 bathrooms,235 sqm,"5,000,000 EGP"
408,Apartment,Apartment Ready to move Fully Finished with ACs,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,160 sqm,"2,809,000 EGP"
409,Chalet,Prime Location l Chalet l Marina Marassi l Bua:76m,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,76 sqm,"4,950,000 EGP"
410,Villa,stand alone villa for sale at katamya palms,"Katameya Palms, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,4 bathrooms,575 sqm,"12,000,000 EGP"
411,Chalet,Senior Chalet Upper Furnished in Hacienda Bay,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,363 sqm,"4,600,000 EGP"
412,Villa,Hot Deal villa for sale with view land scape,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,356 sqm,"11,000,000 EGP"
413,Apartment,Panoramic Sea view 4bedrooms resale Installments,"North Edge Towers, New Alamein City, North Coast",4 bedrooms,3 bathrooms,351 sqm,"16,500,000 EGP"
414,Villa,-Standalone- Overlooking The Lake-Gardenia Springs,"Gardenia Springs, Ext North Inves Area, New Cairo City, Cairo",4 bedrooms,4 bathrooms,856 sqm,"9,800,000 EGP"
415,Villa,standalone For Sale in Blanca Marassi .,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,4 bathrooms,395 sqm,"23,550,000 EGP"
416,Chalet,Chalet|Fully Finished|With Installments|Marassi,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,66 sqm,"2,175,193 EGP"
417,Townhouse,Town house with facilities in Vinci Compound,"Vinci, New Capital Compounds, New Capital City, Cairo",3 bedrooms,3 bathrooms,253 sqm,"4,942,178 EGP"
418,Villa,Delivery this Year Twin Villa Open View Greenery,"La Vista City, New Capital Compounds, New Capital City, Cairo",4 bedrooms,4 bathrooms,288 sqm,"8,000,000 EGP"
419,Chalet,SEA VIEW FURNISHED 140SQM+AC UPPER CHALET 3RD ROW,"La Vista 1, La Vista, Al Ain Al Sokhna, Suez",3 bedrooms,2 bathrooms,140 sqm,"4,100,000 EGP"
420,Chalet,light block ground skay phase- semi finshed,"Seashell, Al Alamein, North Coast",3 bedrooms,4 bathrooms,280 sqm,"5,500,000 EGP"
421,Chalet,Chalet 2 Bedrooms Facing North Installment,"Marassi, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,133 sqm,"5,558,000 EGP"
422,Chalet,Dwelling ground for sale in Seashell 183m,"Seashell, Al Alamein, North Coast",3 bedrooms,3 bathrooms,183 sqm,"6,000,000 EGP"
423,Apartment,Apartment for sale in B7 - Madinaty,"Madinaty, Cairo",2 bedrooms,2 bathrooms,96 sqm,"1,800,000 EGP"
424,Chalet,Chalet for sale 109m in Bianchi North Coast,"Bianchi, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,109 sqm,"3,950,000 EGP"
425,Chalet,For Fast Sale | Senior Ground Chalet |Hacienda Bay,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,195 sqm,"5,650,000 EGP"
426,Apartment,Apartment For Sale With Landscape View,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,216 sqm,"3,200,000 EGP"
427,Apartment,5 Rooms For Sale In The Gate Tower Fully Finished,"The Gate Towers, New Alamein City, North Coast",5 bedrooms,5 bathrooms,387 sqm,"1,900,000 EGP"
428,Villa,"Villa for sale in Hyde Park, Fifth Settlement","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,6 bathrooms,320 sqm,"14,500,000 EGP"
429,Twin House,Twin House With 60 % DP|3 Levels|Featured Location,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,355 sqm,"9,500,000 EGP"
430,Apartment,Appartment 170m Fullyfinished delivery 2years,"Atika, New Capital Compounds, New Capital City, Cairo",3 bedrooms,3 bathrooms,170 sqm,"2,700,000 EGP"
431,Chalet,Lagoon view chalet |North coast |15%DP|OFFER,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,125 sqm,"594,000 EGP"
432,Duplex,Garden Duplex !! hacienda Bay | 10% DP ! 4 BR,"Hacienda Bay, Sidi Abdel Rahman, North Coast",4 bedrooms,4 bathrooms,266 sqm,"8,244,300 EGP"
433,Apartment,Apartment For Sale 250 m Roushdy Ibrahim Helmy St.,"Abou Quer Road, Roushdy, Hay Sharq, Alexandria",3 bedrooms,2 bathrooms,250 sqm,"3,100,000 EGP"
434,Apartment,Own your Garden Apartment in Badya 0% DP 10 Years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2 bedrooms,2 bathrooms,125 sqm,"3,300,000 EGP"
435,Chalet,seashell upper horizon chalet (sky) for sale,"Seashell, Al Alamein, North Coast",4 bedrooms,4 bathrooms,300 sqm,"8,000,000 EGP"
436,Apartment,Good price apartment 192m2 for sale at Hyde park.,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,192 sqm,"2,850,000 EGP"
437,Apartment,Delivered NOW Finished Apartment With Installments,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,160 sqm,"2,700,000 EGP"
438,Villa,"Villa in Badia without down payment, installments","Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,264 sqm,"7,200,000 EGP"
439,Penthouse,Penthouse for sale in villette compound ( SODIC ),"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,294 sqm,"7,500,000 EGP"
440,Villa,⭐⭐⭐⭐⭐ villa Corner for sale -503m- in Hacienda Bay,"Hacienda Bay, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,503 sqm,"5,350,000 EGP"
441,Villa,Prime Villa Ready to move 0% Down Payment10 Years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,,"6,800,000 EGP"
442,Chalet,5% down payment // with garden // fully finished//,"Hyde Park North, Ras Al Hekma, North Coast",2 bedrooms,2 bathrooms,124 sqm,"190,000 EGP"
443,Apartment,Penthouse 215m in Midtown for sale New Cairo,"Midtown, South Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,215 sqm,"3,150,000 EGP"
444,Chalet,for sale in hacinda west prime location 3 bed,"Hacienda West, Sidi Abdel Rahman, North Coast",3 bedrooms,3 bathrooms,125 sqm,"3,200,000 EGP"
445,Villa,1st Row Villa bua1000m|land 1500m In Golf Views,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",8 bedrooms,7 bathrooms,"1,500 sqm","23,000,000 EGP"
446,Villa,limited offer *0% downpayment * first row lagoon,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",4 bedrooms,4 bathrooms,178 sqm,"7,000,000 EGP"
447,Chalet,Lagoon view Chalet with Roof in Swan Lake,"Swan Lake, Qesm Ad Dabaah, North Coast",3 bedrooms,3 bathrooms,205 sqm,"10,500,000 EGP"
448,Townhouse,Corner Townhouse For Sale in Dyar park 260 Sqm,"Dyar Park, Ext North Inves Area, New Cairo City, Cairo",4 bedrooms,4 bathrooms,260 sqm,"6,500,001 EGP"
449,Villa,Villa Marassi | sea front | finished | Inst. 2028,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,610 sqm,"47,912,681 EGP"
450,Townhouse,## twon house for sale in new capita 255m##,"R7, New Capital City, Cairo",3 bedrooms,4 bathrooms,255 sqm,"4,975,000 EGP"
451,Villa,Hot Deal Fully Finished Townhouse In Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,197 sqm,"5,400,000 EGP"
