,Type,Title,Location,Bedrooms,Bathrooms,Space,Price
58,Chalet,Horizon ground chalet with swimming pool -seashell,"Seashell, Al Alamein, North Coast",5 bedrooms,5 bathrooms,440 sqm,"12,500,000 EGP"
59,Chalet,Chalet for sale in Mazarine in New Alamein,"Mazarine, New Alamein City, North Coast",3 bedrooms,3 bathrooms,,"6,500,000 EGP"
60,Chalet,Duplex Roof for sale in SeaShell fully Furnished,"Seashell, Al Alamein, North Coast",3 bedrooms,3 bathrooms,264 sqm,"5,250,000 EGP"
61,Villa,10% DP / over 6 y / fully finished with ac's,"Silver Sands, Qesm Marsa Matrouh, North Coast",3 bedrooms,3 bathrooms,225 sqm,"16,500,000 EGP"
62,Duplex,Duplex for sale with DP 10% and installments 6 Y,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,216 sqm,"4,450,000 EGP"
63,Villa,Stand Alone Villa + Cabin For Sale In Swan Lake,"Swan Lake, Qesm Ad Dabaah, North Coast",4 bedrooms,2 bathrooms,523 sqm,"17,000,000 EGP"
64,Apartment,Magnificent Flat For Sale in Maadi Sarayat,"Sarayat Al Maadi, Hay El Maadi, Cairo",4 bedrooms,3 bathrooms,260 sqm,"5,200,000 EGP"
65,Apartment,Hot Deal Finished Studio For Sale In Village Gate,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",1 bedroom,1 bathroom,90 sqm,"1,800,000 EGP"
66,Villa,Villa resale prime location in Golf Extension,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",4 bedrooms,4 bathrooms,420 sqm,"8,800,000 EGP"
67,Twin House,Twin House SEA View | Prime Location | 10% DP,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,3 bathrooms,155 sqm,"6,144,499 EGP"
68,Apartment,Apartment 145 m2 at Hyde Park New Cairo.,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,3 bathrooms,145 sqm,"2,100,000 EGP"
